     Time(s)     Power(C)        TB(C)        TC(C)        TD(C)        TE(C)   Ambient(C)
    30728.15        20.72        22.64        22.86        23.23        23.24        22.15
    30731.58        20.57        22.64        22.86        23.23        23.24        22.15
    30735.03        20.57        22.64        22.86        23.23        23.39        22.20
    30738.47        20.57        22.64        22.86        23.08        23.24        22.15
    30741.90        20.57        22.64        22.72        23.23        23.24        22.15
    30745.35        20.57        22.64        22.72        23.23        23.24        22.20
    30748.81        20.57        22.64        22.72        23.23        23.39        22.20
    30752.26        20.57        22.64        22.86        23.23        23.39        22.15
    30755.70        20.57        22.64        22.72        23.23        23.24        22.20
    30759.13        20.57        22.64        22.86        23.37        23.24        22.15
    30762.59        20.57        22.64        22.72        23.23        23.39        22.15
    30766.03        20.57        22.64        22.72        23.23        23.39        22.15
    30769.45        20.72        22.79        22.86        23.23        23.39        22.10
    30772.92        20.57        22.64        22.72        23.23        23.24        22.15
    30776.36        20.57        22.79        22.72        23.23        23.39        22.10
    30779.81        20.57        22.64        22.86        23.23        23.39        22.15
    30783.24        20.57        22.64        22.86        23.23        23.24        22.15
    30786.69        20.57        22.64        22.86        23.23        23.39        22.15
    30790.20        20.57        22.64        22.72        23.23        23.24        22.15
    30793.68        20.72        22.64        22.72        23.23        23.24        22.10
    30797.13        20.57        22.64        22.86        23.37        23.39        22.10
    30800.61        20.57        22.64        22.86        23.23        23.39        22.10
    30804.06        20.72        22.64        22.72        23.23        23.39        22.10
    30807.52        20.57        22.64        22.86        23.37        23.39        22.15
    30810.95        20.72        22.64        22.86        23.23        23.39        22.15
